157.502, 129.955, 7.910,  6.722 False
157.240, 129.955, 7.841,  6.755 False
156.982, 129.955, 7.744,  6.788 False
156.727, 129.955, 7.625,  6.821 False
156.477, 129.954, 7.488,  6.854 False
156.233, 129.954, 7.336,  6.887 False
155.993, 129.954, 7.173,  6.920 False
155.759, 129.954, 7.000,  6.953 False
155.532, 129.954, 6.820,  6.986 False
155.310, 129.953, 6.634,  7.019 False
155.094, 129.953, 6.443,  7.052 False
154.885, 129.953, 6.249,  7.085 False
154.683, 129.953, 6.054,  7.118 False
154.487, 129.953, 5.857,  7.151 False
154.297, 129.952, 5.660,  7.184 False
154.114, 129.952, 5.464,  7.217 False
153.937, 129.952, 5.272,  7.250 False
153.766, 129.952, 5.083,  7.283 False
153.602, 129.952, 4.901,  7.316 False
153.443, 129.952, 4.727,  7.349 False
153.289, 129.951, 4.565,  7.382 False
153.141, 129.951, 4.418,  7.415 False
152.997, 129.951, 4.287,  7.448 False
152.857, 129.951, 4.174,  7.481 False
152.719, 129.951, 4.078,  7.514 False
152.585, 129.951, 4.001,  7.547 False
152.452, 129.950, 3.941,  7.580 False
152.321, 129.950, 3.898,  7.613 False
152.191, 129.950, 3.868,  7.646 False
152.062, 129.950, 3.852,  7.679 False
151.932, 129.950, 3.848,  7.712 False
151.803, 129.950, 3.856,  7.745 False
151.673, 129.949, 3.874,  7.778 False
151.542, 129.949, 3.903,  7.811 False
151.410, 129.949, 3.941,  7.844 False
151.277, 129.949, 3.989,  7.877 False
151.141, 129.949, 4.045,  7.910 False
151.004, 129.949, 4.108,  7.943 False
150.865, 129.949, 4.177,  7.976 False
150.723, 129.948, 4.252,  8.009 False
150.578, 129.948, 4.331,  8.042 False
150.431, 129.948, 4.414,  8.075 False
150.281, 129.948, 4.500,  8.108 False
150.128, 129.948, 4.589,  8.141 False
149.972, 129.948, 4.678,  8.174 False
149.813, 129.948, 4.768,  8.207 False
149.652, 129.947, 4.857,  8.240 False
149.487, 129.947, 4.944,  8.273 False
149.320, 129.947, 5.029,  8.306 False
149.150, 129.947, 5.111,  8.339 False
148.977, 129.947, 5.189,  8.372 False
148.802, 129.947, 5.261,  8.405 False
148.625, 129.947, 5.329,  8.438 False
148.446, 129.946, 5.389,  8.471 False
148.265, 129.946, 5.443,  8.504 False
148.083, 129.946, 5.489,  8.537 False
147.899, 129.946, 5.526,  8.570 False
147.714, 129.946, 5.550,  8.603 False
147.529, 129.946, 5.559,  8.636 False
147.345, 129.946, 5.555,  8.669 False
147.160, 129.946, 5.546,  8.702 False
146.976, 129.945, 5.536,  8.735 False
146.792, 129.945, 5.526,  8.768 False
146.609, 129.945, 5.515,  8.801 False
146.426, 129.945, 5.504,  8.834 False
146.243, 129.945, 5.493,  8.867 False
146.060, 129.945, 5.482,  8.900 False
145.878, 129.945, 5.471,  8.933 False
145.696, 129.945, 5.461,  8.966 False
145.514, 129.944, 5.452,  8.999 False
145.333, 129.944, 5.443,  9.032 False
